X_position,Y_position,type
104,-33,tumor
226,228,tumor
194,-226,tumor
-100,-171,tumor
-187,4,tumor
192,-210,tumor
-162,8,tumor
254,-237,tumor
-11,-231,tumor
-256,32,tumor
158,-191,tumor
239,11,tumor
-105,-37,tumor
-244,145,tumor
202,27,tumor
219,-220,tumor
64,-90,tumor
-47,-70,tumor
134,-20,tumor
-242,-98,tumor
199,239,tumor
-247,-87,tumor
-239,1,tumor
-153,-21,tumor
232,39,tumor
119,-12,tumor
-39,-55,tumor
90,-80,tumor
-47,114,tumor
-73,-156,tumor
207,254,tumor
-195,-231,tumor
254,235,tumor
-235,-34,tumor
-53,83,tumor
163,-149,tumor
242,11,tumor
-149,-38,tumor
183,225,tumor
-95,-180,tumor
157,-139,tumor
-158,-74,tumor
213,-204,tumor
-226,16,tumor
214,-3,tumor
-212,69,tumor
-212,44,tumor
232,17,tumor
221,-192,tumor
99,-77,tumor
-208,2,tumor
65,-87,tumor
183,19,tumor
-211,-43,tumor
108,-24,tumor
-112,-17,tumor
-168,33,tumor
-231,206,tumor
-215,105,tumor
-198,-248,tumor
-209,-11,tumor
253,66,tumor
-140,-73,tumor
-188,-17,tumor
166,-163,tumor
-221,-95,tumor
234,-240,tumor
-46,-109,tumor
81,-50,tumor
-50,-38,tumor
-196,-78,tumor
-60,-172,tumor
-212,-52,tumor
-200,22,tumor
200,205,tumor
-126,-45,tumor
225,16,tumor
-86,-77,tumor
-44,-145,tumor
-94,-142,tumor
-86,-8,tumor
228,-226,tumor
-168,-26,tumor
-237,93,tumor
78,-38,tumor
-214,50,tumor
224,-204,tumor
73,-69,tumor
-48,-144,tumor
-54,97,tumor
227,210,tumor
-213,27,tumor
-256,170,tumor
-251,171,tumor
-194,-242,tumor
109,-68,tumor
180,-8,tumor
-198,-35,tumor
-245,104,tumor
-202,82,tumor
210,6,tumor
203,237,tumor
120,-49,tumor
-240,209,tumor
-75,-123,tumor
-117,-46,tumor
-133,-29,tumor
234,40,tumor
173,-182,tumor
222,-221,tumor
-212,-35,tumor
-212,-70,tumor
-245,-98,tumor
-237,-36,tumor
138,115,tumor
-164,-26,tumor
218,250,tumor
212,-231,tumor
234,17,tumor
-162,5,tumor
-192,39,tumor
196,218,tumor
196,-222,tumor
245,6,tumor
119,126,tumor
232,19,tumor
-249,80,tumor
-96,-90,tumor
-229,-55,tumor
251,1,tumor
229,39,tumor
166,-171,tumor
152,118,tumor
-93,-126,tumor
-43,-33,tumor
-231,78,tumor
-246,-10,tumor
-237,210,tumor
-210,-79,tumor
-248,-51,tumor
122,-22,tumor
-216,-80,tumor
-169,-25,tumor
79,-101,tumor
-140,-69,tumor
-226,-14,tumor
-241,-31,tumor
247,-206,tumor
-133,-45,tumor
245,62,tumor
-67,-85,tumor
-229,29,tumor
149,126,tumor
148,-156,tumor
151,-19,tumor
184,210,tumor
-33,-40,tumor
-237,176,tumor
-159,-63,tumor
145,-43,tumor
-64,-199,tumor
219,204,tumor
176,-161,tumor
96,-30,tumor
194,-9,tumor
-232,-245,tumor
216,-222,tumor
-202,-75,tumor
-190,95,tumor
220,44,tumor
239,38,tumor
-8,-250,tumor
-253,70,tumor
-7,-232,tumor
109,-45,tumor
200,220,tumor
-188,-27,tumor
200,14,tumor
111,-51,tumor
252,-10,tumor
-62,-149,tumor
-67,-93,tumor
-238,86,tumor
249,-239,tumor
-256,-42,tumor
-228,55,tumor
130,-13,tumor
-72,-95,tumor
-202,74,tumor
121,120,tumor
-183,18,tumor
-78,-80,tumor
-254,-69,tumor
106,-60,tumor
-236,-20,tumor
195,38,tumor
250,-194,tumor
-71,-110,tumor
-155,0,tumor
255,55,tumor
-234,-73,tumor
-132,-42,tumor
-164,-62,tumor
-244,-58,tumor
-182,-37,tumor
154,-144,tumor
-253,-11,tumor
-103,-30,tumor
-237,27,tumor
-225,78,tumor
227,-246,tumor
-181,-8,tumor
205,241,tumor
-228,-17,tumor
-229,-39,tumor
226,-198,tumor
192,-186,tumor
188,-187,tumor
-223,-93,tumor
95,-58,tumor
-72,-93,tumor
-62,110,tumor
150,-176,tumor
-59,-198,tumor
138,141,tumor
99,-47,tumor
163,-147,tumor
-26,-224,tumor
-150,-48,tumor
222,-19,tumor
238,-227,tumor
200,20,tumor
139,-26,tumor
-65,-25,tumor
-205,-75,tumor
77,-48,tumor
-249,221,tumor
-115,-61,tumor
-132,-63,tumor
230,22,tumor
-246,4,tumor
-93,-158,tumor
-62,114,tumor
122,157,tumor
-73,-191,tumor
148,-9,tumor
250,-252,tumor
-50,78,tumor
-179,72,tumor
-146,-22,tumor
92,-82,tumor
87,-91,tumor
-78,-97,tumor
244,37,tumor
143,-148,tumor
-25,-56,tumor
-62,8,tumor
162,-16,tumor
222,221,tumor
-177,60,tumor
-190,51,tumor
-141,-53,tumor
-116,-36,tumor
-252,-9,tumor
147,100,tumor
-195,23,tumor
-175,-13,tumor
176,-196,tumor
255,235,tumor
-194,-58,tumor
-65,9,tumor
122,-17,tumor
-58,-78,tumor
248,-206,tumor
-191,77,tumor
-216,-231,tumor
-50,79,tumor
-40,-153,tumor
85,-55,tumor
-63,-246,tumor
252,-182,tumor
-153,-37,tumor
-98,-174,tumor
-246,-26,tumor
230,36,tumor
-170,11,tumor
133,-38,tumor
87,-39,tumor
-236,208,tumor
137,158,tumor
-77,-58,tumor
186,248,tumor
-242,-70,tumor
-171,-8,tumor
-233,107,tumor
-179,-79,tumor
172,-195,tumor
-62,-174,tumor
-172,-26,tumor
239,20,tumor
-189,-71,tumor
-216,42,tumor
-216,46,tumor
-239,210,tumor
251,224,tumor
137,126,tumor
-90,-116,tumor
223,-214,tumor
-142,-73,tumor
-241,-34,tumor
168,-185,tumor
-227,-54,tumor
-90,-166,tumor
-71,-130,tumor
-96,-43,tumor
-240,173,tumor
-217,-45,tumor
-46,-236,tumor
154,-175,tumor
106,140,tumor
110,136,tumor
-251,-92,tumor
-108,-87,tumor
-239,65,tumor
135,-34,tumor
125,108,tumor
-172,-30,tumor
191,-4,tumor
-142,-67,tumor
-101,-61,tumor
-152,-18,tumor
-155,18,tumor
-13,-255,tumor
-156,-80,tumor
-71,-77,tumor
-102,-30,tumor
222,15,tumor
-64,-56,tumor
-204,40,tumor
-37,-89,tumor
220,-7,tumor
206,24,tumor
-82,-62,tumor
-198,-37,tumor
-215,2,tumor
-167,-51,tumor
-247,52,tumor
-36,-110,tumor
-188,-32,tumor
-210,-7,tumor
-57,-239,tumor
244,34,tumor
152,136,tumor
-31,-98,tumor
177,-8,tumor
208,-235,tumor
-190,-49,tumor
120,160,tumor
-60,-193,tumor
-100,-141,tumor
-87,-80,tumor
191,-202,tumor
-231,-254,tumor
182,45,tumor
-44,113,tumor
-231,104,tumor
66,-96,tumor
-189,82,tumor
-220,-20,tumor
142,-27,tumor
-165,36,tumor
-85,-65,tumor
228,-221,tumor
-55,-21,tumor
-251,105,tumor
186,-177,tumor
252,-253,tumor
63,-88,tumor
190,51,tumor
242,47,tumor
-215,106,tumor
-155,-39,tumor
-28,-246,tumor
134,-45,tumor
-90,-48,tumor
128,141,tumor
-244,52,tumor
-103,-64,tumor
211,5,tumor
166,-160,tumor
133,-73,tumor
-68,-37,tumor
120,-36,tumor
-209,104,tumor
194,22,tumor
-221,-72,tumor
-232,110,tumor
-137,-35,tumor
-88,-188,tumor
100,-52,tumor
-55,-119,tumor
-185,-240,tumor
-201,26,tumor
204,-11,tumor
213,3,tumor
-37,-96,tumor
-236,5,tumor
-78,-63,tumor
-51,-148,tumor
-86,-57,tumor
208,52,tumor
-164,8,tumor
-220,32,tumor
248,-183,tumor
94,-68,tumor
106,-63,tumor
-93,-22,tumor
234,-254,tumor
-245,28,tumor
206,228,tumor
-172,55,tumor
-88,-73,tumor
-202,-65,tumor
207,67,tumor
-100,-19,tumor
-203,-3,tumor
-246,103,tumor
-195,-20,tumor
230,-243,tumor
-236,-16,tumor
198,211,tumor
208,9,tumor
-86,-63,tumor
-217,40,tumor
-174,24,tumor
255,-216,tumor
-235,113,tumor
166,-15,tumor
237,-13,tumor
204,251,tumor
-195,17,tumor
-154,-39,tumor
-242,-17,tumor
-189,31,tumor
247,63,tumor
-250,34,tumor
234,5,tumor
103,134,tumor
-236,-85,tumor
213,65,tumor
227,-197,tumor
-247,25,tumor
176,-162,tumor
198,-245,tumor
-225,100,tumor
-252,145,tumor
-162,-25,tumor
235,250,tumor
108,-36,tumor
91,-26,tumor
-178,-58,tumor
-184,-8,tumor
-231,121,tumor
195,-198,tumor
-53,-94,tumor
-44,-113,tumor
-229,13,tumor
182,234,tumor
-171,-54,tumor
-35,-35,tumor
132,-17,tumor
-52,-158,tumor
114,104,tumor
-247,118,tumor
190,12,tumor
-145,-55,tumor
-242,-24,tumor
-53,-243,tumor
153,-33,tumor
242,39,tumor
195,58,tumor
-171,19,tumor
-232,6,tumor
247,-202,tumor
-172,50,tumor
-227,17,tumor
169,-164,tumor
180,22,tumor
-240,31,tumor
246,-227,tumor
253,-189,tumor
-110,-161,tumor
-245,-101,tumor
152,-163,tumor
85,-65,tumor
-24,-237,tumor
-46,-134,tumor
-202,-226,tumor
211,34,tumor
-70,-37,tumor
-205,-233,tumor
-210,-80,tumor
218,-252,tumor
-186,-250,tumor
134,-68,tumor
223,61,tumor
-95,-14,tumor
-230,25,tumor
-214,47,tumor
108,-70,tumor
185,198,tumor
-176,-63,tumor
-101,140,cell_1
-244,108,cell_1
-39,86,cell_1
58,105,cell_1
244,-233,cell_1
45,99,cell_1
-32,-101,cell_1
99,146,cell_1
-43,-114,cell_1
-223,136,cell_1
-101,59,cell_1
-66,106,cell_1
49,70,cell_1
-82,86,cell_1
-215,162,cell_1
-94,62,cell_1
-48,-175,cell_1
229,-193,cell_1
-249,-113,cell_1
-4,-196,cell_1
-244,132,cell_1
-54,124,cell_1
36,85,cell_1
-50,-94,cell_1
100,-214,cell_1
-246,-54,cell_1
-32,-116,cell_1
119,129,cell_1
91,103,cell_1
180,-20,cell_1
-46,-207,cell_1
-133,193,cell_1
-230,155,cell_1
-124,118,cell_1
-47,-145,cell_1
-80,-191,cell_1
-38,-103,cell_1
244,-149,cell_1
69,152,cell_1
-94,198,cell_1
220,-207,cell_1
26,111,cell_1
-123,189,cell_1
-74,-203,cell_1
-248,116,cell_1
207,-251,cell_1
-41,-99,cell_1
44,104,cell_1
-87,97,cell_1
-242,159,cell_1
-78,129,cell_1
-122,-179,cell_1
78,-212,cell_1
-241,-119,cell_1
8,-89,cell_1
-245,-32,cell_1
240,-232,cell_1
246,-84,cell_1
-218,-73,cell_1
-223,-54,cell_1
-104,246,cell_1
-59,64,cell_1
73,-231,cell_1
-72,-108,cell_1
-220,190,cell_1
-106,210,cell_1
-89,-135,cell_1
-15,-167,cell_1
20,113,cell_1
-59,136,cell_1
226,-188,cell_1
-124,221,cell_1
-42,120,cell_1
-86,190,cell_1
-26,-200,cell_1
-223,-67,cell_1
-226,185,cell_1
-130,-182,cell_1
45,148,cell_1
252,-167,cell_1
-62,-203,cell_1
-43,132,cell_1
-101,70,cell_1
-90,100,cell_1
-226,-71,cell_1
240,-207,cell_1
-33,111,cell_1
76,-226,cell_1
-75,100,cell_1
54,148,cell_1
195,-252,cell_1
-98,-121,cell_1
183,-26,cell_1
-37,103,cell_1
95,110,cell_1
251,-113,cell_1
-218,132,cell_1
-55,-186,cell_1
65,138,cell_1
122,138,cell_1
-74,102,cell_1
-95,103,cell_1
-78,-135,cell_1
109,-250,cell_1
-60,112,cell_1
89,122,cell_1
240,-136,cell_1
-64,99,cell_1
-35,107,cell_1
64,106,cell_1
-222,167,cell_1
-123,237,cell_1
-250,186,cell_1
-253,196,cell_1
-135,193,cell_1
-113,158,cell_1
-56,-117,cell_1
-256,-221,cell_1
105,-228,cell_1
-138,211,cell_1
-134,-178,cell_1
-113,172,cell_1
-238,-192,cell_1
-103,231,cell_1
238,-162,cell_1
239,-122,cell_1
-247,-222,cell_1
-242,-75,cell_1
