X_position,Y_position,type
-226,-7,tumor
123,102,tumor
86,143,tumor
100,88,tumor
-155,-129,tumor
-193,-200,tumor
-183,-180,tumor
89,104,tumor
-182,-204,tumor
80,104,tumor
-192,-135,tumor
-229,20,tumor
92,52,tumor
-241,-8,tumor
80,156,tumor
64,93,tumor
137,65,tumor
63,167,tumor
67,108,tumor
157,88,tumor
49,20,tumor
25,23,tumor
224,219,tumor
-157,-139,tumor
226,220,tumor
-122,-171,tumor
-133,-194,tumor
136,102,tumor
94,114,tumor
141,77,tumor
152,93,tumor
61,44,tumor
-251,5,tumor
-240,15,tumor
-227,-3,tumor
-131,-202,tumor
-165,-161,tumor
90,68,tumor
-173,-157,tumor
-202,-210,tumor
72,184,tumor
-251,-1,tumor
-159,-167,tumor
97,68,tumor
-151,-214,tumor
-117,-173,tumor
75,193,tumor
-171,-146,tumor
82,146,tumor
241,214,tumor
-188,-208,tumor
69,191,tumor
88,89,tumor
-176,-140,tumor
74,176,tumor
64,98,tumor
79,118,tumor
40,33,tumor
97,88,tumor
89,187,tumor
-256,-3,tumor
98,124,tumor
80,75,tumor
-175,-204,tumor
-153,-142,tumor
98,45,tumor
-164,-163,tumor
131,85,tumor
-195,-192,tumor
-140,-192,tumor
-182,-213,tumor
100,178,tumor
-233,30,tumor
155,87,tumor
-194,-153,tumor
-126,-185,tumor
61,20,tumor
-162,-168,tumor
86,138,tumor
39,17,tumor
-251,-28,tumor
110,103,tumor
-153,-191,tumor
88,54,tumor
-227,-8,tumor
101,141,tumor
241,226,tumor
144,93,tumor
93,186,tumor
-245,-12,tumor
70,167,tumor
65,180,tumor
-176,-147,tumor
84,39,tumor
140,68,tumor
241,221,tumor
-10,-171,tumor
77,51,tumor
-150,-162,tumor
52,153,tumor
-238,31,tumor
-143,-137,tumor
-239,1,tumor
-128,-201,tumor
-186,-181,tumor
-150,-199,tumor
-189,-195,tumor
-178,-196,tumor
-126,-202,tumor
-240,-7,tumor
79,192,tumor
29,22,tumor
-248,0,tumor
90,166,tumor
-137,-164,tumor
-238,-23,tumor
78,205,tumor
-178,-140,tumor
159,86,tumor
64,76,tumor
50,43,tumor
121,54,tumor
101,170,tumor
-194,-194,tumor
116,111,tumor
29,34,tumor
95,78,tumor
-199,-148,tumor
63,33,tumor
-246,22,tumor
65,11,tumor
-238,21,tumor
102,109,tumor
76,170,tumor
-252,246,tumor
153,69,tumor
72,159,tumor
239,235,tumor
-136,-180,tumor
-163,-204,tumor
113,75,tumor
-118,-188,tumor
75,114,tumor
109,89,tumor
-245,-2,tumor
84,108,tumor
248,242,tumor
248,239,tumor
96,106,tumor
122,79,tumor
35,29,tumor
-241,-10,tumor
-161,-146,tumor
-203,-156,tumor
-181,-127,tumor
79,162,tumor
118,102,tumor
-177,-202,tumor
-224,2,tumor
-245,20,tumor
