X_position,Y_position,type
-39,100,tumor
243,-43,tumor
198,-7,tumor
-137,-62,tumor
230,-218,tumor
82,149,tumor
27,72,tumor
-2,72,tumor
2,24,tumor
-133,-10,tumor
48,99,tumor
125,214,tumor
-251,121,tumor
190,57,tumor
111,217,tumor
191,18,tumor
31,38,tumor
148,236,tumor
-162,-136,tumor
84,146,tumor
130,183,tumor
-91,-97,tumor
47,-16,tumor
244,-214,tumor
-173,101,tumor
127,-233,tumor
-184,-85,tumor
165,215,tumor
89,155,tumor
-229,79,tumor
-102,138,tumor
82,165,tumor
-124,-61,tumor
-64,196,tumor
104,137,tumor
124,219,tumor
90,109,tumor
-163,-131,tumor
14,34,tumor
159,-194,tumor
82,27,tumor
103,67,tumor
108,-163,tumor
126,-23,tumor
106,86,tumor
-239,149,tumor
176,33,tumor
236,-88,tumor
-143,-128,tumor
-43,22,tumor
194,-207,tumor
208,39,tumor
-17,204,tumor
-250,128,tumor
160,-187,tumor
85,235,tumor
-184,-67,tumor
50,32,tumor
-255,72,tumor
-79,41,tumor
-40,107,tumor
-41,149,tumor
101,35,tumor
-150,5,tumor
125,208,tumor
239,-252,tumor
-85,-89,tumor
-104,89,tumor
59,190,tumor
141,243,tumor
-91,142,tumor
46,157,tumor
-34,122,tumor
-13,84,tumor
220,-153,tumor
-132,-70,tumor
-168,-82,tumor
156,-165,tumor
-162,-175,tumor
230,-196,tumor
-112,-29,tumor
59,-34,tumor
227,0,tumor
-162,-154,tumor
223,-1,tumor
-142,70,tumor
102,102,tumor
178,52,tumor
-163,-69,tumor
196,63,tumor
-100,-186,tumor
70,-237,tumor
221,-104,tumor
244,-128,tumor
133,79,tumor
95,248,tumor
-179,-115,tumor
249,-147,tumor
230,-147,tumor
-104,65,tumor
-36,61,tumor
-14,20,tumor
-57,141,tumor
255,-193,tumor
83,144,tumor
138,153,tumor
-84,189,tumor
228,-190,tumor
131,-218,tumor
-26,185,tumor
-155,-17,tumor
-111,74,tumor
162,-184,tumor
-147,-182,tumor
-227,111,tumor
150,23,tumor
72,124,tumor
17,32,tumor
-154,-72,tumor
-21,171,tumor
-242,-58,tumor
-102,111,tumor
-1,155,tumor
100,35,tumor
-198,130,tumor
86,174,tumor
-248,78,tumor
203,22,tumor
-64,51,tumor
-210,170,tumor
-187,-92,tumor
10,130,tumor
-73,55,tumor
215,28,tumor
-181,-24,tumor
225,-181,tumor
185,-236,tumor
-249,79,tumor
103,208,tumor
230,-69,tumor
80,198,tumor
-206,-99,tumor
164,232,tumor
-144,30,tumor
135,7,tumor
-146,-123,tumor
66,86,tumor
216,39,tumor
-221,-93,tumor
43,123,tumor
-250,-105,tumor
94,-11,tumor
25,202,tumor
34,118,tumor
-234,-126,tumor
168,-234,tumor
-191,138,tumor
183,61,tumor
178,-225,tumor
-221,-137,tumor
149,101,tumor
-48,189,tumor
165,219,tumor
131,98,tumor
32,27,tumor
-136,105,tumor
-85,-10,tumor
108,139,tumor
144,53,tumor
