X_position,Y_position,type
180,-78,tumor
-85,222,tumor
-34,228,tumor
101,182,tumor
112,108,tumor
220,146,tumor
203,-97,tumor
112,74,tumor
100,127,tumor
237,-148,tumor
68,134,tumor
-157,-3,tumor
-253,-240,tumor
93,196,tumor
-150,45,tumor
107,239,tumor
246,-140,tumor
-192,186,tumor
75,80,tumor
45,-53,tumor
-116,-127,tumor
-132,-213,tumor
114,82,tumor
192,-44,tumor
-199,51,tumor
30,-87,tumor
-106,18,tumor
-81,24,tumor
-107,-190,tumor
-106,-122,tumor
166,-36,tumor
51,10,tumor
-131,-95,tumor
61,-36,tumor
180,-31,tumor
-89,255,tumor
104,135,tumor
61,34,tumor
-188,242,tumor
-204,239,tumor
-144,-6,tumor
-256,-174,tumor
40,165,tumor
197,152,tumor
61,-26,tumor
208,-175,tumor
11,-174,tumor
-159,10,tumor
-185,252,tumor
72,-7,tumor
-57,71,tumor
-109,250,tumor
-4,152,tumor
15,-245,tumor
98,134,tumor
78,-88,tumor
35,114,tumor
-183,184,tumor
10,165,tumor
-177,223,tumor
221,-57,tumor
113,106,tumor
-249,-183,tumor
-68,-1,tumor
-244,-148,tumor
164,248,tumor
241,-176,tumor
62,57,tumor
216,-85,tumor
-149,14,tumor
74,-120,tumor
-201,180,tumor
250,-107,tumor
-46,189,tumor
-235,-77,tumor
-54,0,tumor
-194,174,tumor
168,-118,tumor
80,144,tumor
-90,3,tumor
71,-87,tumor
49,230,tumor
219,-102,tumor
-144,-190,tumor
201,171,tumor
158,148,tumor
37,120,tumor
-254,-228,tumor
86,73,tumor
-121,221,tumor
-25,-189,tumor
-134,30,tumor
71,-35,tumor
-88,225,tumor
-139,5,tumor
-66,26,tumor
-44,169,tumor
-7,-202,tumor
-10,93,tumor
217,-156,tumor
-254,-143,tumor
-58,25,tumor
97,172,tumor
187,-47,tumor
232,-17,tumor
-200,-238,tumor
241,-137,tumor
-124,54,tumor
36,19,tumor
-14,-156,tumor
-175,233,tumor
-111,-173,tumor
40,-50,tumor
