X_position,Y_position,type
71,-99,tumor
54,-95,tumor
-47,-208,tumor
198,-185,tumor
154,-193,tumor
80,-62,tumor
116,202,tumor
-66,228,tumor
-85,137,tumor
106,5,tumor
48,-4,tumor
2,-84,tumor
-13,53,tumor
-106,92,tumor
213,51,tumor
190,250,tumor
-187,81,tumor
56,-244,tumor
-11,-154,tumor
-48,166,tumor
147,-223,tumor
-181,56,tumor
-30,143,tumor
143,-53,tumor
-192,-194,tumor
102,221,tumor
-206,247,tumor
21,-74,tumor
240,250,tumor
-136,-31,tumor
24,192,tumor
52,41,tumor
253,246,tumor
90,-19,tumor
102,-19,tumor
-28,-57,tumor
-61,-180,tumor
-97,-69,tumor
177,28,tumor
89,-76,tumor
-207,-79,tumor
76,250,tumor
-171,91,tumor
-182,-204,tumor
130,-48,tumor
-127,-13,tumor
-108,-64,tumor
-235,-23,tumor
140,72,tumor
247,148,tumor
94,236,tumor
-227,-89,tumor
172,11,tumor
30,220,tumor
-207,-86,tumor
-59,-228,tumor
179,21,tumor
52,3,tumor
-98,165,tumor
185,50,tumor
177,-48,tumor
85,76,tumor
157,55,tumor
-209,111,tumor
15,243,tumor
-118,67,tumor
-164,-7,tumor
33,-7,tumor
119,170,tumor
-126,-65,tumor
153,32,tumor
171,194,tumor
115,-15,tumor
-38,169,tumor
-233,-224,tumor
20,216,tumor
-227,128,tumor
81,-78,tumor
-117,35,tumor
187,111,tumor
-192,92,tumor
10,16,tumor
178,-225,tumor
87,26,tumor
181,47,tumor
243,-191,tumor
41,-20,tumor
-224,251,tumor
3,-11,tumor
104,-45,tumor
-4,-92,tumor
93,-49,tumor
2,183,tumor
134,115,tumor
52,45,tumor
-227,-219,tumor
-256,120,tumor
-38,30,tumor
-224,-79,tumor
188,176,tumor
-241,-231,tumor
131,-156,tumor
138,38,tumor
-177,24,tumor
-91,82,tumor
-151,-89,tumor
125,41,tumor
110,182,tumor
210,243,tumor
160,150,tumor
90,38,tumor
206,-138,tumor
-250,235,tumor
133,-177,tumor
-188,-212,tumor
-256,170,tumor
144,141,tumor
-254,-180,tumor
-168,122,tumor
-238,161,tumor
-16,60,tumor
-198,178,tumor
-238,108,tumor
-70,-41,tumor
149,-71,tumor
7,-34,tumor
179,-161,tumor
45,-167,tumor
-223,-79,tumor
-36,-53,tumor
27,248,tumor
-210,223,tumor
-89,203,tumor
189,221,tumor
-249,-161,tumor
1,240,tumor
235,-195,tumor
108,224,tumor
213,-130,tumor
171,152,tumor
169,-218,tumor
14,-62,tumor
141,-37,tumor
-45,117,tumor
-21,-46,tumor
132,123,tumor
-246,-183,tumor
-203,213,tumor
255,-153,tumor
186,-177,tumor
-121,-18,tumor
7,242,tumor
-52,9,tumor
-44,-25,tumor
139,186,tumor
-24,-53,tumor
182,-237,tumor
10,-20,tumor
175,209,tumor
153,-250,tumor
-180,70,tumor
-199,226,tumor
-53,-24,tumor
181,45,tumor
-204,-179,tumor
115,187,tumor
26,76,tumor
153,196,tumor
-73,142,tumor
162,-200,tumor
50,6,tumor
-173,117,tumor
58,166,tumor
62,-22,tumor
147,-159,tumor
-221,87,tumor
-94,249,tumor
134,191,tumor
121,228,tumor
78,3,tumor
-200,180,tumor
36,207,tumor
107,136,tumor
32,156,tumor
106,169,tumor
20,144,tumor
-21,-60,tumor
249,-139,tumor
121,230,tumor
-161,94,tumor
-115,58,tumor
-169,75,tumor
-223,-161,tumor
237,210,tumor
147,-7,tumor
82,33,tumor
146,66,tumor
-254,184,tumor
-157,13,tumor
44,-36,tumor
32,-235,tumor
134,-198,tumor
125,-13,tumor
78,-95,tumor
-48,-243,tumor
30,-13,tumor
35,39,tumor
-244,172,tumor
220,204,tumor
-183,2,tumor
16,-66,tumor
235,211,tumor
-131,-130,tumor
-165,24,tumor
175,158,tumor
-53,-8,tumor
-206,-244,tumor
219,135,tumor
-164,167,tumor
13,185,tumor
92,186,tumor
153,-40,tumor
100,239,tumor
-141,-232,tumor
2,232,tumor
-246,-250,tumor
210,-212,tumor
-110,28,tumor
-227,-256,tumor
218,-130,tumor
-134,-55,tumor
189,-165,tumor
177,38,tumor
183,-181,tumor
68,-59,tumor
-223,221,tumor
-118,-94,tumor
189,-232,tumor
52,-45,tumor
134,-18,tumor
-43,118,tumor
102,-96,tumor
248,-195,tumor
146,176,tumor
-181,246,tumor
-143,74,tumor
-187,-18,tumor
47,247,tumor
138,76,tumor
245,-132,tumor
-88,190,tumor
87,-6,tumor
-129,-133,tumor
-249,-190,tumor
253,173,tumor
8,211,tumor
-69,-27,tumor
158,129,tumor
116,181,tumor
138,22,tumor
29,79,tumor
29,26,tumor
60,-2,tumor
-174,-104,tumor
124,12,tumor
-11,-97,tumor
191,238,tumor
149,46,tumor
172,53,tumor
170,144,tumor
86,-73,tumor
199,-190,tumor
52,-20,tumor
-160,-93,tumor
-244,229,tumor
-85,75,tumor
-53,106,tumor
-147,-32,tumor
187,-191,tumor
2,169,tumor
-91,-62,tumor
-29,241,tumor
-128,31,tumor
142,203,tumor
174,77,tumor
155,196,tumor
227,-178,tumor
-45,148,tumor
-92,192,tumor
220,-146,tumor
45,-22,tumor
-36,249,tumor
43,230,tumor
76,254,tumor
31,-50,tumor
-59,12,tumor
53,-2,tumor
-59,-23,tumor
-247,235,tumor
16,208,tumor
63,-84,tumor
113,-3,tumor
109,36,tumor
25,-13,tumor
150,-184,tumor
175,33,tumor
93,181,tumor
-248,106,tumor
232,-171,tumor
47,-214,tumor
83,155,tumor
-166,-12,tumor
-34,189,tumor
195,180,tumor
-216,110,tumor
81,6,tumor
148,-229,tumor
160,85,tumor
-93,-108,tumor
25,-74,tumor
-230,133,tumor
173,29,tumor
-232,245,tumor
-51,-254,tumor
143,-65,tumor
108,1,tumor
-25,-45,tumor
203,169,tumor
200,204,tumor
196,-204,tumor
186,-199,tumor
28,-26,tumor
50,-46,tumor
10,2,tumor
182,17,tumor
151,-250,tumor
122,207,tumor
123,-43,tumor
9,-112,tumor
-179,-229,tumor
-150,-98,tumor
214,42,tumor
-183,74,tumor
-160,152,tumor
219,147,tumor
-45,108,tumor
-17,192,tumor
-196,-166,tumor
-135,0,tumor
255,-174,tumor
151,190,tumor
-193,108,tumor
164,-161,tumor
65,71,tumor
23,186,tumor
-255,221,tumor
-104,86,tumor
183,-256,tumor
-148,-116,tumor
1,201,tumor
153,-140,tumor
-244,208,tumor
181,165,tumor
24,180,tumor
96,-27,tumor
-51,-178,tumor
53,-10,tumor
254,-207,tumor
118,251,tumor
-176,-201,tumor
149,83,tumor
127,-15,tumor
153,140,tumor
-150,-40,tumor
39,-10,tumor
213,229,tumor
158,30,tumor
172,108,tumor
234,165,tumor
77,-43,tumor
149,-189,tumor
-69,222,tumor
65,-46,tumor
39,-232,tumor
36,-64,tumor
-4,-85,tumor
-213,141,tumor
168,-11,tumor
-74,37,tumor
-188,121,tumor
226,168,tumor
117,-50,tumor
-102,15,tumor
-85,62,tumor
-51,-230,tumor
-10,-36,tumor
170,-17,tumor
70,76,tumor
-232,-121,tumor
-145,-133,tumor
73,29,tumor
132,-52,tumor
-122,91,tumor
-6,-159,tumor
86,44,tumor
141,-9,tumor
250,239,tumor
-7,-149,tumor
127,96,tumor
211,-149,tumor
86,-51,tumor
-45,47,tumor
-223,-32,tumor
143,58,tumor
117,-17,tumor
-162,161,tumor
55,-232,tumor
-252,194,tumor
163,225,tumor
36,65,tumor
-220,246,tumor
-214,235,tumor
202,-233,tumor
250,153,tumor
-1,-72,tumor
-255,169,tumor
-165,-242,tumor
-250,-122,tumor
105,158,tumor
-197,77,tumor
206,200,tumor
85,158,tumor
208,241,tumor
-176,16,tumor
196,137,tumor
106,46,tumor
21,199,tumor
85,1,tumor
196,166,tumor
178,62,tumor
234,-181,tumor
83,-15,tumor
-119,23,tumor
-43,252,tumor
72,17,tumor
-12,144,tumor
-203,13,tumor
-99,20,tumor
-135,-54,tumor
62,213,tumor
34,-197,tumor
111,19,tumor
-207,167,tumor
4,-58,tumor
144,-49,tumor
-199,-195,tumor
157,-242,tumor
146,-70,tumor
-225,219,tumor
130,173,tumor
-101,-101,tumor
73,-11,tumor
100,-7,tumor
-95,149,tumor
-94,198,tumor
-129,9,tumor
207,34,tumor
242,177,tumor
-49,-249,tumor
162,-183,tumor
-181,-254,tumor
146,-27,tumor
55,247,tumor
-70,-176,tumor
-40,-3,tumor
-170,-229,tumor
3,6,tumor
-168,41,tumor
-165,-23,tumor
-246,139,tumor
-14,31,tumor
99,-53,tumor
-208,-1,tumor
-26,199,tumor
15,-18,tumor
-15,-14,tumor
-245,-179,tumor
176,116,tumor
144,214,tumor
174,98,tumor
212,-124,tumor
149,132,tumor
-227,-183,tumor
-225,-239,tumor
-249,131,tumor
81,75,tumor
151,-26,tumor
58,55,tumor
-231,97,tumor
-145,64,tumor
95,179,tumor
103,83,tumor
93,135,tumor
-143,-133,tumor
97,208,tumor
-52,243,tumor
167,-177,tumor
-227,-42,tumor
131,92,tumor
57,3,tumor
187,177,tumor
120,-3,tumor
66,-254,cell_1
177,164,cell_1
31,-157,cell_1
226,26,cell_1
-73,-254,cell_1
156,74,cell_1
-96,-208,cell_1
180,-125,cell_1
-237,-109,cell_1
181,182,cell_1
-179,-48,cell_1
-212,-114,cell_1
130,-84,cell_1
-237,-44,cell_1
96,-87,cell_1
96,-69,cell_1
-144,-69,cell_1
7,-180,cell_1
-115,15,cell_1
187,194,cell_1
204,-255,cell_1
-85,-170,cell_1
174,217,cell_1
220,136,cell_1
127,171,cell_1
-23,-249,cell_1
72,-100,cell_1
49,-241,cell_1
-126,-225,cell_1
-45,-182,cell_1
-131,-60,cell_1
15,-235,cell_1
-211,5,cell_1
-90,29,cell_1
17,-252,cell_1
229,138,cell_1
238,35,cell_1
179,168,cell_1
-117,-162,cell_1
100,-242,cell_1
3,-129,cell_1
179,207,cell_1
-78,63,cell_1
15,-177,cell_1
122,186,cell_1
119,179,cell_1
-92,-177,cell_1
44,250,cell_1
184,170,cell_1
-62,-123,cell_1
92,-145,cell_1
15,-205,cell_1
196,166,cell_1
